bread,topping,butter,Mean Ant Count,Std Dev Ant Count
Multi Grain,Ham and gherkins,no,47.5,16.26
Multi Grain,Ham and gherkins,yes,69.5,9.19
Multi Grain,Peanut butter,no,20.5,2.12
Multi Grain,Peanut butter,yes,53.5,9.19
Multi Grain,Yeast spread,no,40.0,2.83
Multi Grain,Yeast spread,yes,27.0,1.41
Rye,Ham and gherkins,no,49.5,21.92
Rye,Ham and gherkins,yes,49.5,12.02
Rye,Peanut butter,no,53.0,8.49
Rye,Peanut butter,yes,39.0,4.24
Rye,Yeast spread,no,25.0,5.66
Rye,Yeast spread,yes,49.5,10.61
White,Ham and gherkins,no,49.0,7.07
White,Ham and gherkins,yes,66.0,1.41
White,Peanut butter,no,42.0,8.49
White,Peanut butter,yes,38.5,16.26
White,Yeast spread,no,24.5,9.19
White,Yeast spread,yes,33.5,16.26
Whole Grain,Ham and gherkins,no,50.5,3.54
Whole Grain,Ham and gherkins,yes,62.5,4.95
Whole Grain,Peanut butter,no,22.5,2.12
Whole Grain,Peanut butter,yes,54.0,4.24
Whole Grain,Yeast spread,no,33.5,12.02
Whole Grain,Yeast spread,yes,44.0,5.66
